epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,18780.8,1.39335,1.64012,2.72554,0.58487,0.42089,0.44453,0.251,1.6265,1.94284,2.97459,0.0004852,0.0004852,0.0004852
28,19475.4,1.37456,1.60577,2.67999,0.54857,0.43064,0.42131,0.23605,1.6716,1.96539,2.97353,0.0004654,0.0004654,0.0004654
29,20172,1.35334,1.58448,2.69014,0.48124,0.46769,0.42582,0.23586,1.61504,2.0049,2.91834,0.0004456,0.0004456,0.0004456
30,20863.3,1.36602,1.57948,2.70346,0.5267,0.44442,0.42355,0.22671,1.63217,1.94962,2.91856,0.0004258,0.0004258,0.0004258
31,21550.6,1.37822,1.60198,2.69796,0.5703,0.44865,0.45285,0.24392,1.65067,1.89873,2.99248,0.000406,0.000406,0.000406
32,22245.5,1.35175,1.55395,2.65553,0.54895,0.42554,0.41359,0.23012,1.63554,1.96782,2.95715,0.0003862,0.0003862,0.0003862
33,22939.6,1.33738,1.54447,2.65698,0.58542,0.42133,0.41691,0.23114,1.63971,1.97017,2.97757,0.0003664,0.0003664,0.0003664
34,23635.6,1.33544,1.52548,2.6444,0.57037,0.41787,0.43532,0.24316,1.64873,1.95876,2.97976,0.0003466,0.0003466,0.0003466
35,24327.2,1.3369,1.53127,2.66635,0.53473,0.45698,0.42288,0.2393,1.60636,1.92285,2.94608,0.0003268,0.0003268,0.0003268
36,25021.9,1.32164,1.50512,2.63281,0.54521,0.46917,0.41804,0.23758,1.65675,1.94158,2.99395,0.000307,0.000307,0.000307
37,25713.8,1.30336,1.48092,2.62752,0.50602,0.45271,0.42919,0.24885,1.62583,1.92241,2.97061,0.0002872,0.0002872,0.0002872
38,26407.4,1.29427,1.47611,2.62327,0.55693,0.44347,0.44563,0.24407,1.64072,1.90252,3.01636,0.0002674,0.0002674,0.0002674
39,27097.1,1.30367,1.45998,2.60795,0.56348,0.44598,0.44041,0.23821,1.60331,1.88339,2.93977,0.0002476,0.0002476,0.0002476
40,27789,1.28257,1.4467,2.60184,0.58564,0.41646,0.43485,0.23983,1.58907,1.84588,2.94665,0.0002278,0.0002278,0.0002278
41,28463.3,1.22952,1.36437,2.64238,0.50319,0.44644,0.44249,0.25223,1.61754,1.85486,2.97918,0.000208,0.000208,0.000208
42,29137.2,1.18976,1.30023,2.60096,0.56303,0.44941,0.43489,0.24049,1.63253,1.85466,2.9833,0.0001882,0.0001882,0.0001882
43,29807.2,1.18039,1.2678,2.57591,0.57774,0.43595,0.44735,0.25557,1.59912,1.83674,2.97959,0.0001684,0.0001684,0.0001684
44,30481.7,1.17316,1.26041,2.6045,0.55346,0.47121,0.45066,0.25604,1.60566,1.82278,2.94979,0.0001486,0.0001486,0.0001486
45,31157.6,1.15682,1.22479,2.5645,0.54552,0.45372,0.44165,0.25413,1.61381,1.81582,2.96143,0.0001288,0.0001288,0.0001288
46,31830.7,1.14418,1.21772,2.53835,0.54235,0.4513,0.44843,0.25798,1.61752,1.80845,2.96954,0.000109,0.000109,0.000109
47,32507.1,1.14067,1.20715,2.5508,0.57635,0.44457,0.45064,0.25475,1.60977,1.82987,2.95568,8.92e-05,8.92e-05,8.92e-05
48,33185.5,1.1233,1.18509,2.52099,0.53709,0.45783,0.445,0.25233,1.64743,1.84595,2.99729,6.94e-05,6.94e-05,6.94e-05
49,33861,1.12156,1.18143,2.53197,0.56618,0.45742,0.45644,0.25853,1.62136,1.83122,2.99782,4.96e-05,4.96e-05,4.96e-05
50,34538.1,1.11194,1.16939,2.53349,0.52953,0.47611,0.44788,0.25619,1.62965,1.81668,3.00147,2.98e-05,2.98e-05,2.98e-05
